"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302207,"Juruá",2.9,3.1,3,3.4,3.6,3.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302306,"Jutaí",4.4,3.3,3.5,4.1,3.9,3.9
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302405,"Lábrea",3.2,3.5,3.9,4.3,4.1,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302504,"Manacapuru",4.7,4.5,4.6,4.9,5.3,5.5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302553,"Manaquiri",3.7,4,3.8,4.2,4.4,3.8
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302603,"Manaus",3.8,4.3,4.8,5.5,5.9,6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302702,"Manicoré",3.6,3.9,4.3,4.9,5.1,5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302801,"Maraã",3.8,3.9,3.6,3.7,3.5,3.5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1302900,"Maués",3.8,4.2,4.7,5.1,5.1,5.1
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303007,"Nhamundá",4.1,5.4,5,5.3,5.8,5.4
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303106,"Nova Olinda do Norte",3.9,4.4,4.4,4.7,4.8,4.7
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303205,"Novo Airão",4.9,5.3,4.3,4.7,5.7,5
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303304,"Novo Aripuanã",3.5,3.9,4.7,4.8,5.1,4.2
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303403,"Parintins",4.6,5,5.1,5.4,5.8,5.7
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303502,"Pauini",2.8,3,3,2.9,3.1,2.9
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303536,"Presidente Figueiredo",3.8,4.1,5,4.9,5,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303569,"Rio Preto da Eva",3.1,3.7,3.5,4.4,4.7,4.8
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303601,"Santa Isabel do Rio Negro",4,4.2,4.4,4.2,4.4,4.3
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303700,"Santo Antônio do Içá",3.4,3.5,3.1,4,4,3.7
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303809,"São Gabriel da Cachoeira",4.4,4.2,4.2,4.2,4.5,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303908,"São Paulo de Olivença",3.6,3.5,4.2,4.2,4.4,4.6
"Educação","TX_INEP_IDEB_AI_MUN","Amazonas",1303957,"São Sebastião do Uatumã",3.9,4.3,4.3,4,5.2,5.1
