AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2016,2017,2018,2019
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1500958,Aurora do Pará,77.4,74.7,71.3,71.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501006,Aveiro,58.4,66.7,71.9,82.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501105,Bagre,55.7,61.5,56.4,61.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501204,Baião,69.7,79.6,73.8,73.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501253,Bannach,70.4,79.4,85.8,89.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501303,Barcarena,86.7,87.6,84.8,87.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501402,Belém,61.5,63.1,64,64.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501451,Belterra,57.1,48.5,60.9,57.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501501,Benevides,81,86.9,91.8,97.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501576,Bom Jesus do Tocantins,71.6,87.3,82.1,83.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501600,Bonito,70.3,62.8,65.2,61.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501709,Bragança,73.5,73.9,75.7,83.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501725,Brasil Novo,73.1,79.1,86.9,101
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501758,Brejo Grande do Araguaia,109.4,97.6,92.2,93
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501782,Breu Branco,55.4,58.5,71.5,64.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501808,Breves,63.9,65.7,66.5,71
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501907,Bujaru,73.1,77.6,67.5,67.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1501956,Cachoeira do Piriá,50.3,44.1,39.7,35
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502004,Cachoeira do Arari,78.1,84.9,87.9,96.1
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502103,Cametá,85.9,86.8,88.2,87.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502152,Canaã dos Carajás,182.4,163,178.5,190.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502202,Capanema,82.9,88.7,88.3,93.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502301,Capitão Poço,69.9,63.5,74.1,75.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502400,Castanhal,89.2,87.3,88.4,86.6
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502509,Chaves,76,78.7,77.1,74
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502608,Colares,100.7,100.7,117.3,121.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502707,Conceição do Araguaia,65.9,77.3,78,79.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502756,Concórdia do Pará,90.4,90,87.6,80.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502764,Cumaru do Norte,73.5,84.4,80.5,89.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502772,Curionópolis,110.3,111.3,109.9,115.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502806,Curralinho,72.9,72.4,68.2,66.5
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502855,Curuá,75.5,83.5,76.3,75.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502905,Curuçá,75.4,71.7,75.9,73.9
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502939,Dom Eliseu,59.9,57.6,53.1,51.2
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1502954,Eldorado do Carajás,73.7,73.7,70.4,64.7
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503002,Faro,67.6,86.1,108.6,184.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503044,Floresta do Araguaia,78.8,85,79.8,76.8
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503077,Garrafão do Norte,72,83.9,81.3,80.3
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503093,Goianésia do Pará,75,72.1,89.4,75.4
Educação,TX_INEP_PREESCOLA_4_5_MUN,Pará,1503101,Gurupá,83.5,81.9,77.7,111.1
