"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"60","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200302,"Feijó",8433.88,8696.34,8903.84,9506.08,9890.22,10478.03,10766.24,11245.1,11080.79,10817.42,10842.71
"61","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200328,"Jordão",9759.67,9911.72,9872.76,10498.1,10682.84,11083.37,10941.17,11138.03,10709.36,10211.28,10006.11
"62","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200336,"Mâncio Lima",10606.9,10788.16,10773.26,11227.49,11446.26,11896.8,11782.52,12019.65,11578.67,11059.36,10855.28
"63","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200344,"Manoel Urbano",14266.94,14618.83,14791.58,14919.71,15320.49,16032.13,16080.96,16537.05,16049.48,15440.15,15259.85
"64","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200351,"Marechal Thaumaturgo",11248.13,11359,11202.9,12057.18,12182.94,12559.65,12251.44,12382.81,11825.19,11203.93,10914.85
"65","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200385,"Plácido de Castro",10510.96,10744.66,10828.71,12307.76,12693.13,13335.2,13479.88,13929.75,13584.7,13128.53,13030.69
"66","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200393,"Porto Walter",10375.18,10509.08,10420.27,10786.15,10924.16,11285.28,11051.02,11195.74,10714.08,10171.61,9927.68
"67","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200401,"Rio Branco",21093.19,21591.19,21811.72,21301.49,21807.24,22752.76,22695.69,23257.18,22498.77,21576.31,21258.69
"68","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200427,"Rodrigues Alves",11195.56,11343.8,11252.57,11290.64,11422.41,11788.3,11522.53,11659.99,11147.37,10572.83,10309.67
"69","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200435,"Santa Rosa do Purus",13576.71,13660.89,13388.58,13341.62,13376.77,13692.86,13189.41,13231.32,12548.15,11813.84,11439.97
"70","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200450,"Senador Guiomard",14343.62,14723.92,14952.68,15655.68,16159.44,16990.81,17201.98,17794.75,17370.48,16802.47,16692.56
"71","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200500,"Sena Madureira",10996.81,11241.63,11329.81,11557.42,11840.55,12362.63,12348.13,12664.4,12261.01,11767.21,11602.31
"72","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200609,"Tarauacá",11006.92,11264.78,11376.23,11617.28,11915.17,12453.12,12463.19,12797.7,12404.97,11918.59,11763.89
"73","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200708,"Xapuri",12152.57,12436.07,12557.59,12622.58,12938.7,13516.38,13514.35,13868.6,13434.71,12900.59,12726.81
"74","Economia","TX_IBGE_PIB_PC_MUN","Acre",1200807,"Porto Acre",12607.06,12827.86,12820.53,13568.77,13840.02,14391.86,14265.48,14560.62,14033.13,13410.78,13169.31
"75","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1300029,"Alvarães",10030.26,9947.38,9841,10408.16,11365.38,11405.47,11287.34,11173.66,10437.86,9613.47,10000.82
