"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"57","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200179,"Capixaba",128593650.6,136502869.11,139981075.1,150148733.27,156577642.5,166256366.96,170047741.87,177539841.64,174875492.31,170650467.53,170986000
"58","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200203,"Cruzeiro do Sul",968458662.94,1028024210.26,1054219117.3,1130793322.87,1179210432.2,1252102402.39,1280655832.97,1337079994.57,1317014367.9,1285195053.12,1287722000
"59","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200252,"Epitaciolândia",327836120.08,347999848.97,356867172.92,382788558.53,399178393.09,423853293.12,433519008.61,452619336.71,445826855.58,435055594.92,435911000
"60","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200302,"Feijó",263879230.97,280109258.56,287246674.12,308111108.76,321303483.47,341164606.9,348944657.4,364318740.92,358851391.27,350181474.17,350870000
"61","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200328,"Jordão",59133856.34,62770914.53,64370369.35,69045972.18,72002309.4,76453075.82,78196541.52,81641787.45,80416585.04,78473705.22,78628000
"62","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200336,"Mâncio Lima",146216183.56,155209285.01,159164145.95,170725184.66,178035114.57,189040215.88,193351162.55,201869983.1,198840510.12,194036486.01,194418000
"63","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200344,"Manoel Urbano",101980106.14,108252444.93,111010806.75,119074182,124172574.05,131848204.55,134854922.33,140796468.63,138683528.96,135332908.82,135599000
"64","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200351,"Marechal Thaumaturgo",146911849.45,155947738.18,159921415.52,171537459.23,178882168.25,189939629.51,194271086.76,202830438.07,199786551.5,194959670.85,195343000
"65","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200385,"Plácido de Castro",181398075.5,192555057.28,197461519.38,211804324.14,220873137.08,234526237.22,239874464.83,250443046.35,246684634.97,240724687.8,241198000
"66","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200393,"Porto Walter",84765195.78,89978722.67,92271454.93,98973679.59,103211429.64,109591363.41,112090527.52,117029101.86,115272840.25,112487826.75,112709000
"67","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200401,"Rio Branco",6130504084.14,6507563885.55,6673381994.99,7158109426.29,7464597764.73,7926016034.88,8106763989.86,8463938298.2,8336919550.85,8135498006.79,8151494000
"68","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200427,"Rodrigues Alves",139138441.26,147696222.53,151459644.42,162461059.36,169417144.72,179889532.96,183991803.89,192098262.32,189215434.05,184643953.58,185007000
"69","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200435,"Santa Rosa do Purus",53600868.33,56897617.26,58347415.6,62585535.48,65265256.56,69299577.33,70879911.87,74002795.86,72892232.19,71131142.15,71271000
"70","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200450,"Senador Guiomard",270563640.03,287204795.63,294523011.33,315915969.63,329442524.6,349806756.49,357783885.93,373547415.27,367941570.44,359052032.91,359758000
"71","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200500,"Sena Madureira",376420673.33,399572620.12,409754060.92,439516935.81,458335705.87,486667368.91,497765521.03,519696473.49,511897362.4,499529825.87,500512000
"72","Economia","TX_IBGE_PIB_CONSTANTE_MUN","Acre",1200609,"Tarauacá",354103711.78,375883042.39,385460853.16,413459167.86,431162224.05,457814179.56,468254352.33,488885078.05,481548355.12,469914056.31,470838000
