"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500206,"Acará",5.8,10.6,14,18.2,21,17.5,17.3,24.1,20.3,20.1,22.4
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500305,"Afuá",1.2,4.7,7.7,4.9,5.2,5.3,4.2,6.9,7.2,7.1,8.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500347,"Água Azul do Norte",21.7,18.7,13.5,16.9,17.7,18.6,19.9,26.6,31.8,39.5,100
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500404,"Alenquer",6.1,5.7,5.8,4.8,4.7,6.7,5,4.6,4.7,3.6,3.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500503,"Almeirim",8,2.2,1.5,2.7,4.9,4.9,0.9,0.4,0.6,0.7,0.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500602,"Altamira",11.8,15.7,13.3,14.1,14.5,13.3,13,13.2,13.2,16,16.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500701,"Anajás",8.6,5.1,5.2,5.3,5.4,6,6.3,7.6,9.2,9.3,8.7
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500800,"Ananindeua",4.2,4.3,6.7,7.2,8.3,9.4,10.3,9.8,9.9,11.1,11.3
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500859,"Anapu",0,0,0,0,0,0,0,2.8,2.7,0.7,4.1
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500909,"Augusto Corrêa",3.5,2.2,2.9,3.1,3.6,2.8,2.4,2.6,3.5,4.2,4.9
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1500958,"Aurora do Pará",0,0,0,0,0,0.3,0,3.2,3.6,7.5,14
"Educação","TX_INEP_CRECHE_0_3_MUN","Pará",1501006,"Aveiro",0,0,0,0,0,0,0,0,0,0,0
